nom,categorie,type_repas,calories,proteines,glucides,lipides,fibres,sucres,sodium_mg,cholesterol_mg,eau_ml
Shrimp (3oz steamed),Protein/Fish,Dinner,84.0,20.0,0.2,0.2,0.0,0.0,100.0,161.0,250.0
Pancakes (2 medium),Grain,Breakfast,180.0,5.0,30.0,5.0,1.0,6.0,450.0,25.0,0.0
Maple Syrup (2 tbsp),Condiment,Breakfast,104.0,0.0,27.0,0.0,0.0,24.0,2.0,0.0,0.0
Sausage Link (1 cooked),Protein/Meat,Breakfast,85.0,5.0,1.0,7.0,0.0,0.5,300.0,20.0,0.0
Smoothie (Fruit & Yogurt),Beverage/Meal,Breakfast,280.0,12.0,55.0,3.0,7.0,40.0,70.0,5.0,250.0
Tofu (4oz firm),Protein/Vegetarian,Lunch,90.0,10.0,3.0,5.0,2.0,1.0,10.0,0.0,0.0
Brown Rice (1 cup cooked),Grain,Lunch,215.0,5.0,45.0,1.8,3.5,0.4,10.0,0.0,0.0
Bell Pepper (1 medium red),Vegetable,Lunch,31.0,1.2,6.0,0.3,2.1,4.2,4.0,0.0,0.0
Hummus (2 tbsp),Legume,Snack,70.0,2.0,4.0,5.0,2.0,0.0,130.0,0.0,0.0
Pita Bread (1 whole wheat),Grain,Snack,170.0,6.0,35.0,1.5,5.0,2.0,320.0,0.0,0.0
Pork Chop (4oz grilled),Protein/Meat,Dinner,220.0,30.0,0.0,10.0,0.0,0.0,70.0,85.0,250.0
Mashed Potatoes (1 cup),Vegetable,Dinner,230.0,4.0,35.0,8.0,3.0,2.0,350.0,15.0,0.0
Corn (1 cup),Vegetable,Dinner,132.0,4.7,30.0,1.8,3.6,8.9,2.0,0.0,0.0
Soda (1 can Coke),Beverage,Snack,140.0,0.0,39.0,0.0,0.0,39.0,45.0,0.0,355.0
Pretzels (1 oz),Grain/Processed,Snack,110.0,3.0,23.0,1.0,1.0,1.0,450.0,0.0,0.0
Cheddar Cheese (1 oz),Dairy,Snack,115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,0.0
Caesar Salad (with chicken),Meal/Protein,Lunch,470.0,30.0,15.0,30.0,3.0,3.0,890.0,75.0,250.0
Orange Juice (1 cup),Beverage,Breakfast,112.0,1.7,25.8,0.5,0.7,20.8,2.0,0.0,240.0
Bacon (2 slices cooked),Protein/Meat,Breakfast,86.0,6.0,0.2,6.8,0.0,0.1,330.0,18.0,0.0
Waffles (2 homemade),Grain,Breakfast,220.0,6.0,28.0,9.0,1.5,3.0,420.0,45.0,0.0
Pear,Fruit,Snack,101.0,0.6,27.0,0.2,5.5,16.0,2.0,0.0,0.0
Chicken Breast (4oz roasted),Protein/Meat,Lunch,185.0,35.0,0.0,4.0,0.0,0.0,80.0,95.0,500.0
Mixed Nuts (1/4 cup),Nut,Snack,200.0,6.0,8.0,18.0,3.0,2.0,1.0,0.0,0.0
Tilapia (4oz baked),Protein/Fish,Dinner,110.0,22.0,0.0,2.5,0.0,0.0,50.0,50.0,0.0
Asparagus (1 cup steamed),Vegetable,Dinner,40.0,4.3,7.4,0.4,3.6,3.5,4.0,0.0,0.0
Sweet Potato (1 medium baked),Vegetable,Dinner,103.0,2.3,23.6,0.2,3.8,7.4,41.0,0.0,0.0
Popcorn (3 cups air-popped),Grain,Snack,93.0,3.0,18.6,1.1,3.6,0.1,2.0,0.0,250.0
Raisins (1/4 cup),Fruit,Snack,130.0,1.3,34.0,0.2,1.6,25.0,5.0,0.0,0.0
Macaroni & Cheese (1 cup),Meal/Pasta,Lunch,350.0,10.0,40.0,17.0,2.0,5.0,750.0,40.0,250.0
Tomato Soup (1 can),Meal/Vegetable,Lunch,170.0,4.0,25.0,6.0,4.0,15.0,900.0,10.0,0.0
Grilled Cheese Sandwich,Meal/Processed,Lunch,390.0,15.0,32.0,22.0,3.0,4.0,800.0,60.0,0.0
Beef Tacos (2 hard shell),Meal/Meat,Dinner,380.0,18.0,28.0,22.0,5.0,3.0,600.0,50.0,500.0
Refried Beans (1/2 cup),Legume,Dinner,115.0,7.0,19.0,1.0,6.0,1.0,480.0,0.0,0.0
Guacamole (1/4 cup),Vegetable/Condiment,Dinner,90.0,1.0,4.0,8.0,3.0,0.5,120.0,0.0,0.0
Watermelon (1 cup diced),Fruit,Snack,46.0,0.9,11.5,0.2,0.6,9.4,2.0,0.0,0.0
English Muffin (whole wheat),Grain,Breakfast,134.0,6.0,26.0,1.0,4.4,1.0,210.0,0.0,250.0
Peanut Butter & Jelly Sandwich,Meal/Processed,Lunch,390.0,12.0,50.0,17.0,5.0,20.0,450.0,0.0,250.0
Clam Chowder (1 cup),Meal/Seafood,Lunch,200.0,10.0,18.0,9.0,1.0,2.0,870.0,30.0,0.0
Iced Tea (Sweetened 16oz),Beverage,Snack,180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,500.0
Lasagna (1 serving meat),Meal/Pasta,Dinner,350.0,20.0,30.0,17.0,4.0,7.0,850.0,55.0,250.0
Garlic Bread (1 slice),Grain,Dinner,150.0,4.0,18.0,7.0,1.0,1.0,310.0,0.0,0.0
Chocolate Milk (1 cup),Beverage/Dairy,Snack,200.0,8.0,26.0,8.0,1.0,24.0,160.0,30.0,0.0
White Bread (1 slice),Grain,Breakfast,70.0,2.0,13.0,1.0,0.6,1.2,140.0,0.0,0.0
Jelly (1 tbsp grape),Condiment,Breakfast,50.0,0.0,13.0,0.0,0.1,12.0,5.0,0.0,0.0
Veggie Burger (1 patty),Protein/Vegetarian,Lunch,120.0,11.0,10.0,4.0,5.0,1.0,350.0,0.0,250.0
Bun (hamburger),Grain,Lunch,140.0,4.0,26.0,2.0,1.0,4.0,260.0,0.0,0.0
Ketchup (1 tbsp),Condiment,Lunch,20.0,0.2,5.0,0.1,0.2,4.0,160.0,0.0,0.0
Muffin (Blueberry 1 large),Grain/Dessert,Breakfast,380.0,5.0,55.0,16.0,2.0,30.0,350.0,50.0,250.0
Coffee (with cream/sugar),Beverage,Breakfast,50.0,0.5,5.0,3.0,0.0,4.5,10.0,10.0,250.0
Potato Chips (1 oz),Snack/Processed,Snack,160.0,2.0,15.0,10.0,1.0,0.5,170.0,0.0,0.0
Tzatziki Sauce (2 tbsp),Condiment/Dairy,Dinner,30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,0.0
Pancakes (2 medium),Grain,Breakfast,180.0,5.0,30.0,5.0,1.0,6.0,450.0,25.0,0.0
Maple Syrup (2 tbsp),Condiment,Breakfast,104.0,0.0,27.0,0.0,0.0,24.0,2.0,0.0,0.0
Sausage Link (1 cooked),Protein/Meat,Breakfast,85.0,5.0,1.0,7.0,0.0,0.5,300.0,20.0,0.0
Smoothie (Fruit & Yogurt),Beverage/Meal,Breakfast,280.0,12.0,55.0,3.0,7.0,40.0,70.0,5.0,250.0
Tofu (4oz firm),Protein/Vegetarian,Lunch,90.0,10.0,3.0,5.0,2.0,1.0,10.0,0.0,0.0
Brown Rice (1 cup cooked),Grain,Lunch,215.0,5.0,45.0,1.8,3.5,0.4,10.0,0.0,0.0
Bell Pepper (1 medium red),Vegetable,Lunch,31.0,1.2,6.0,0.3,2.1,4.2,4.0,0.0,0.0
Hummus (2 tbsp),Legume,Snack,70.0,2.0,4.0,5.0,2.0,0.0,130.0,0.0,0.0
Pita Bread (1 whole wheat),Grain,Snack,170.0,6.0,35.0,1.5,5.0,2.0,320.0,0.0,0.0
Pork Chop (4oz grilled),Protein/Meat,Dinner,220.0,30.0,0.0,10.0,0.0,0.0,70.0,85.0,250.0
Mashed Potatoes (1 cup),Vegetable,Dinner,230.0,4.0,35.0,8.0,3.0,2.0,350.0,15.0,0.0
Corn (1 cup),Vegetable,Dinner,132.0,4.7,30.0,1.8,3.6,8.9,2.0,0.0,0.0
Soda (1 can Coke),Beverage,Snack,140.0,0.0,39.0,0.0,0.0,39.0,45.0,0.0,355.0
Pretzels (1 oz),Grain/Processed,Snack,110.0,3.0,23.0,1.0,1.0,1.0,450.0,0.0,0.0
Cheddar Cheese (1 oz),Dairy,Snack,115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,0.0
Caesar Salad (with chicken),Meal/Protein,Lunch,470.0,30.0,15.0,30.0,3.0,3.0,890.0,75.0,250.0
Orange Juice (1 cup),Beverage,Breakfast,112.0,1.7,25.8,0.5,0.7,20.8,2.0,0.0,240.0
Bacon (2 slices cooked),Protein/Meat,Breakfast,86.0,6.0,0.2,6.8,0.0,0.1,330.0,18.0,0.0
Waffles (2 homemade),Grain,Breakfast,220.0,6.0,28.0,9.0,1.5,3.0,420.0,45.0,0.0
Pear,Fruit,Snack,101.0,0.6,27.0,0.2,5.5,16.0,2.0,0.0,0.0
Chicken Breast (4oz roasted),Protein/Meat,Lunch,185.0,35.0,0.0,4.0,0.0,0.0,80.0,95.0,500.0
Mixed Nuts (1/4 cup),Nut,Snack,200.0,6.0,8.0,18.0,3.0,2.0,1.0,0.0,0.0
Tilapia (4oz baked),Protein/Fish,Dinner,110.0,22.0,0.0,2.5,0.0,0.0,50.0,50.0,0.0
Asparagus (1 cup steamed),Vegetable,Dinner,40.0,4.3,7.4,0.4,3.6,3.5,4.0,0.0,0.0
Sweet Potato (1 medium baked),Vegetable,Dinner,103.0,2.3,23.6,0.2,3.8,7.4,41.0,0.0,0.0
Popcorn (3 cups air-popped),Grain,Snack,93.0,3.0,18.6,1.1,3.6,0.1,2.0,0.0,250.0
Raisins (1/4 cup),Fruit,Snack,130.0,1.3,34.0,0.2,1.6,25.0,5.0,0.0,0.0
Macaroni & Cheese (1 cup),Meal/Pasta,Lunch,350.0,10.0,40.0,17.0,2.0,5.0,750.0,40.0,250.0
Tomato Soup (1 can),Meal/Vegetable,Lunch,170.0,4.0,25.0,6.0,4.0,15.0,900.0,10.0,0.0
Grilled Cheese Sandwich,Meal/Processed,Lunch,390.0,15.0,32.0,22.0,3.0,4.0,800.0,60.0,0.0
Beef Tacos (2 hard shell),Meal/Meat,Dinner,380.0,18.0,28.0,22.0,5.0,3.0,600.0,50.0,500.0
Refried Beans (1/2 cup),Legume,Dinner,115.0,7.0,19.0,1.0,6.0,1.0,480.0,0.0,0.0
Guacamole (1/4 cup),Vegetable/Condiment,Dinner,90.0,1.0,4.0,8.0,3.0,0.5,120.0,0.0,0.0
Watermelon (1 cup diced),Fruit,Snack,46.0,0.9,11.5,0.2,0.6,9.4,2.0,0.0,0.0
English Muffin (whole wheat),Grain,Breakfast,134.0,6.0,26.0,1.0,4.4,1.0,210.0,0.0,250.0
Peanut Butter & Jelly Sandwich,Meal/Processed,Lunch,390.0,12.0,50.0,17.0,5.0,20.0,450.0,0.0,250.0
Clam Chowder (1 cup),Meal/Seafood,Lunch,200.0,10.0,18.0,9.0,1.0,2.0,870.0,30.0,0.0
Iced Tea (Sweetened 16oz),Beverage,Snack,180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,500.0
Lasagna (1 serving meat),Meal/Pasta,Dinner,350.0,20.0,30.0,17.0,4.0,7.0,850.0,55.0,250.0
Garlic Bread (1 slice),Grain,Dinner,150.0,4.0,18.0,7.0,1.0,1.0,310.0,0.0,0.0
Chocolate Milk (1 cup),Beverage/Dairy,Snack,200.0,8.0,26.0,8.0,1.0,24.0,160.0,30.0,0.0
White Bread (1 slice),Grain,Breakfast,70.0,2.0,13.0,1.0,0.6,1.2,140.0,0.0,0.0
Jelly (1 tbsp grape),Condiment,Breakfast,50.0,0.0,13.0,0.0,0.1,12.0,5.0,0.0,0.0
Veggie Burger (1 patty),Protein/Vegetarian,Lunch,120.0,11.0,10.0,4.0,5.0,1.0,350.0,0.0,250.0
Bun (hamburger),Grain,Lunch,140.0,4.0,26.0,2.0,1.0,4.0,260.0,0.0,0.0
Ketchup (1 tbsp),Condiment,Lunch,20.0,0.2,5.0,0.1,0.2,4.0,160.0,0.0,0.0
Muffin (Blueberry 1 large),Grain/Dessert,Breakfast,380.0,5.0,55.0,16.0,2.0,30.0,350.0,50.0,250.0
Coffee (with cream/sugar),Beverage,Breakfast,50.0,0.5,5.0,3.0,0.0,4.5,10.0,10.0,250.0
Potato Chips (1 oz),Snack/Processed,Snack,160.0,2.0,15.0,10.0,1.0,0.5,170.0,0.0,0.0
Tzatziki Sauce (2 tbsp),Condiment/Dairy,Dinner,30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,0.0
Scallops (3oz seared),Protein/Seafood,Dinner,95.0,17.0,5.0,1.0,0.0,0.0,180.0,35.0,0.0
Risotto (Mushroom 1 cup),Meal/Grain,Dinner,250.0,7.0,35.0,9.0,3.0,3.0,600.0,20.0,0.0
Caprese Salad,Meal/Vegetable,Lunch,240.0,10.0,8.0,18.0,2.0,5.0,350.0,40.0,250.0
Balsamic Vinaigrette (2 tbsp),Condiment,Lunch,90.0,0.0,3.0,9.0,0.0,2.5,300.0,0.0,0.0
Cherries (1 cup),Fruit,Snack,77.0,1.6,19.0,0.5,2.5,15.0,0.0,0.0,0.0
Turkey Bacon (2 slices),Protein/Meat,Breakfast,70.0,6.0,1.0,5.0,0.0,0.5,360.0,30.0,0.0
Grits (1 cup cooked),Grain,Breakfast,150.0,3.0,32.0,1.0,2.0,0.5,320.0,0.0,0.0
Butter (1 tbsp),Condiment/Dairy,Breakfast,100.0,0.1,0.0,11.0,0.0,0.0,82.0,30.0,0.0
Meatball Sub (6 inch),Meal/Processed,Lunch,580.0,28.0,55.0,27.0,6.0,10.0,1200.0,70.0,500.0
Kiwifruit (1 medium),Fruit,Snack,46.0,0.9,11.1,0.4,2.3,6.7,2.0,0.0,0.0
Beef Jerky (1 oz),Snack/Processed,Snack,116.0,9.4,3.1,7.2,0.5,2.5,590.0,30.0,0.0
Figs (2 medium),Fruit,Snack,74.0,0.6,19.2,0.3,2.9,16.2,2.0,0.0,0.0
Lobster (3oz steamed),Protein/Seafood,Dinner,76.0,16.0,0.0,0.7,0.0,0.0,250.0,125.0,250.0
Melted Butter (for lobster),Condiment,Dinner,200.0,0.2,0.0,22.0,0.0,0.0,164.0,60.0,0.0
Corn on the Cob (1 large),Vegetable,Dinner,125.0,5.0,29.0,1.5,3.0,5.0,2.0,0.0,0.0
Vegetable Soup (1 can),Meal/Vegetable,Lunch,140.0,4.0,22.0,4.0,6.0,8.0,780.0,5.0,250.0
Saltine Crackers (5 crackers),Grain/Processed,Lunch,60.0,1.0,10.0,1.5,0.5,0.0,140.0,0.0,0.0
Mango (1 cup slices),Fruit,Snack,99.0,1.4,24.7,0.6,2.6,22.5,2.0,0.0,0.0
Cheesecake (1 slice),Dessert,Snack,320.0,5.0,28.0,21.0,1.0,20.0,280.0,65.0,250.0
Pad Thai (Chicken 1.5 cups),Meal/Pasta,Dinner,550.0,25.0,60.0,22.0,5.0,10.0,950.0,70.0,500.0
Spring Roll (Veg 2 rolls),Snack/Processed,Dinner,180.0,4.0,25.0,7.0,3.0,3.0,450.0,0.0,0.0
Coconut Water (1 cup),Beverage,Snack,46.0,1.7,8.9,0.5,2.6,6.3,252.0,0.0,240.0
Kimchi (1/2 cup),Vegetable,Side,22.0,1.7,4.0,0.4,2.4,1.5,750.0,0.0,0.0
Sashimi (Salmon 3 pcs),Protein/Fish,Lunch,120.0,18.0,0.0,5.0,0.0,0.0,45.0,40.0,0.0
Wasabi (1 tsp),Condiment,Lunch,10.0,0.1,2.2,0.1,0.3,1.0,40.0,0.0,0.0
Seaweed Salad (1/2 cup),Vegetable,Lunch,60.0,2.0,8.0,3.0,2.0,4.0,350.0,0.0,0.0
French Onion Soup (1 cup),Meal,Lunch,150.0,6.0,15.0,7.0,2.0,5.0,800.0,20.0,250.0
Croutons (1/4 cup),Grain,Lunch,50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,0.0
Shepherd's Pie (1 serving),Meal/Meat,Dinner,400.0,20.0,35.0,20.0,6.0,7.0,850.0,55.0,250.0
Green Peas (1/2 cup),Legume,Dinner,62.0,4.1,11.1,0.2,4.4,4.2,2.0,0.0,0.0
Apple Pie (1 slice),Dessert,Snack,410.0,3.0,58.0,19.0,3.0,25.0,320.0,0.0,0.0
Gin & Tonic (1 drink),Beverage,Snack,170.0,0.0,13.0,0.0,0.0,13.0,2.0,0.0,180.0
Red Wine (5 oz glass),Beverage,Dinner,125.0,0.1,3.8,0.0,0.0,0.9,6.0,0.0,0.0
Halibut (4oz baked),Protein/Fish,Dinner,125.0,24.0,0.0,2.5,0.0,0.0,60.0,40.0,250.0
Quinoa Salad (1 cup),Meal/Vegetarian,Lunch,260.0,9.0,32.0,12.0,6.0,4.0,300.0,0.0,250.0
Lemonade (1 cup),Beverage,Snack,99.0,0.1,26.0,0.0,0.1,25.0,30.0,0.0,240.0
Pistachios (1 oz shelled),Nut,Snack,159.0,5.7,7.7,12.8,3.0,2.2,2.0,0.0,0.0
Oat Milk (1 cup),Beverage/Dairy-Alt,Breakfast,120.0,3.0,16.0,5.0,2.0,7.0,100.0,0.0,0.0
Biscuits and Gravy (1 serving),Meal/Processed,Breakfast,480.0,10.0,45.0,28.0,2.0,3.0,1100.0,35.0,250.0
Avocado (1/2 fruit),Fruit,Breakfast,160.0,2.0,8.5,14.7,6.7,0.7,7.0,0.0,0.0
Corn Flakes (1 cup),Grain,Breakfast,100.0,2.0,24.0,0.0,1.0,3.0,200.0,0.0,0.0
T-Bone Steak (6oz),Protein/Meat,Dinner,460.0,38.0,0.0,33.0,0.0,0.0,110.0,105.0,0.0
Creamed Spinach (1/2 cup),Vegetable,Dinner,190.0,5.0,8.0,16.0,3.0,2.0,450.0,50.0,0.0
Pecans (1 oz),Nut,Snack,196.0,2.6,3.9,20.4,2.7,1.1,0.0,0.0,0.0
Fruit Cocktail (canned 1 cup),Fruit,Snack,110.0,1.0,28.0,0.0,2.0,26.0,10.0,0.0,0.0
Ramen (Instant 1 pack),Meal/Processed,Lunch,380.0,9.0,53.0,14.0,2.0,2.0,1580.0,0.0,500.0
Mocha Latte (16oz),Beverage,Snack,360.0,12.0,48.0,15.0,2.0,42.0,150.0,45.0,473.0
Cucumber Slices (1 cup),Vegetable,Snack,16.0,0.7,3.6,0.1,0.5,1.7,2.0,0.0,0.0
Feta Cheese (1 oz),Dairy,Lunch,75.0,4.0,1.2,6.1,0.0,0.7,316.0,25.0,0.0
Olives (Kalamata 5 large),Fruit,Lunch,35.0,0.2,1.0,3.5,0.5,0.0,210.0,0.0,0.0
Chicken Alfredo (1.5 cups),Meal/Pasta,Dinner,680.0,35.0,45.0,38.0,4.0,5.0,980.0,120.0,250.0
Breadstick (1 large),Grain,Dinner,160.0,4.0,28.0,3.0,1.0,2.0,350.0,0.0,0.0
Cobb Salad,Meal/Protein,Lunch,510.0,30.0,12.0,38.0,7.0,6.0,800.0,210.0,500.0
Blue Cheese Dressing (2 tbsp),Condiment,Lunch,150.0,1.0,2.0,16.0,0.0,1.0,320.0,10.0,0.0
Mandarin Orange (1 medium),Fruit,Snack,37.0,0.6,9.3,0.2,1.3,7.3,1.0,0.0,0.0
Cashews (1 oz roasted),Nut,Snack,163.0,4.3,9.2,13.1,0.9,1.4,140.0,0.0,0.0
Eggo Waffle (2 waffles),Grain/Processed,Breakfast,180.0,4.0,30.0,5.0,1.0,4.0,400.0,0.0,0.0
Diet Soda (1 can),Beverage,Lunch,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,355.0
Pulled Pork Sandwich,Meal/Meat,Lunch,480.0,25.0,48.0,20.0,3.0,15.0,900.0,75.0,250.0
Macadamia Nuts (1 oz),Nut,Snack,204.0,2.2,3.9,21.5,2.4,1.3,1.0,0.0,0.0
Crab Cakes (2 medium),Meal/Seafood,Dinner,340.0,20.0,18.0,20.0,1.0,2.0,700.0,120.0,250.0
Tartar Sauce (2 tbsp),Condiment,Dinner,60.0,0.2,2.0,5.5,0.1,1.5,180.0,5.0,0.0
Lemon Bar (1 square),Dessert,Snack,150.0,1.5,22.0,6.0,0.5,15.0,80.0,30.0,0.0
Almond Milk (Unsweetened 1 cup),Beverage/Dairy-Alt,Breakfast,30.0,1.0,1.0,2.5,1.0,0.0,160.0,0.0,240.0
Rice Krispies (1.5 cups),Grain,Breakfast,160.0,3.0,37.0,0.5,0.5,4.0,290.0,0.0,0.0
Sugar (1 tsp for cereal),Condiment,Breakfast,16.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Tuna (Canned 3oz in water),Protein/Fish,Lunch,90.0,20.0,0.0,1.0,0.0,0.0,250.0,35.0,0.0
Mayonnaise (1 tbsp),Condiment,Lunch,90.0,0.1,0.1,10.0,0.0,0.1,70.0,5.0,0.0
Pickle (1 spear dill),Vegetable,Lunch,5.0,0.2,1.0,0.1,0.3,0.5,300.0,0.0,0.0
Lobster Bisque (1 cup),Meal/Seafood,Lunch,250.0,8.0,12.0,18.0,1.0,3.0,850.0,50.0,250.0
Reuben Sandwich,Meal/Processed,Lunch,650.0,28.0,35.0,40.0,5.0,6.0,1500.0,100.0,500.0
Sauerkraut (1/4 cup side),Vegetable,Lunch,7.0,0.3,1.5,0.0,1.0,0.6,234.0,0.0,0.0
Mushroom (White 1 cup sliced),Vegetable,Dinner,15.0,2.2,2.3,0.2,0.7,1.4,4.0,0.0,0.0
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,Breakfast,110.0,8.0,9.0,4.5,2.0,6.0,125.0,0.0,240.0
Chicken Tikka Masala (1.5 cups),Meal/Meat,Dinner,480.0,30.0,20.0,30.0,5.0,8.0,900.0,95.0,250.0
Naan Bread (1 piece),Grain,Dinner,260.0,8.0,45.0,5.0,2.0,3.0,450.0,10.0,0.0
Cucumber Salad (1/2 cup),Vegetable,Dinner,40.0,1.0,5.0,2.0,1.0,4.0,200.0,0.0,0.0
Vodka Soda (1 drink),Beverage,Snack,100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,180.0
Chocolate Croissant,Dessert,Breakfast,350.0,6.0,40.0,19.0,3.0,15.0,300.0,40.0,250.0
Sweet & Sour Chicken (1 cup),Meal/Processed,Dinner,380.0,18.0,45.0,15.0,3.0,25.0,750.0,50.0,0.0
